Year,End Latitude Decimal Degrees,End Longitude Decimal Degrees,G Stat Area,Target Species Code,Avg Depth Fathoms,Substrate Type,Species,Sex,Age,Length Millimeters,Weight Kilograms,Number of Specimens
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,390,,3
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,400,,1
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,410,,2
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,420,,3
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,430,,4
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,440,,3
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,450,,2
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,460,,3
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,510,,1
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,550,,1
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,660,,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Female,4,580,1.7,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Female,5,550,1.5,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Female,5,550,1.7,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Female,6,580,1.9,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Female,7,630,2.2,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Female,8,620,2.2,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Female,35,840,6.1,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Male,4,470,1,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Male,5,490,1.1,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Male,6,520,1.4,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Male,6,550,1.7,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Male,7,570,1.9,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Male,7,590,2,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Male,8,530,1.4,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Sablefish,Male,10,570,1.7,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,320,,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,340,,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,350,,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,360,,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,370,,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,380,,3
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,390,,1
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,420,,4
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,430,,5
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,440,,5
2000,54.505833,-131.815833,315401,710,194,Mud/Soft,Thornyhead rockfish,,,460,,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Female,5,520,1.4,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Female,6,440,0.7,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Female,6,650,2.5,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Male,4,480,0.9,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Male,5,500,1.1,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Male,5,520,1.4,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Male,6,400,0.6,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Male,6,470,1,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Male,6,500,1,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Male,6,510,1.4,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Male,6,530,1.3,1
2000,54.507667,-131.800667,315431,710,188,Mud,Sablefish,Male,17,660,2.8,1
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,320,,1
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,330,,2
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,340,,1
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,350,,2
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,360,,1
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,370,,1
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,380,,1
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,390,,2
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,400,,3
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,410,,4
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,420,,3
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,440,,2
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,460,,1
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,470,,1
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,480,,1
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,510,,1
2000,54.507667,-131.800667,315431,710,188,Mud,Thornyhead rockfish,,,550,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Redbanded rockfish,Female,20,430,1.4,1
2000,54.525167,-132.676333,325431,710,201,Coral,Redbanded rockfish,Female,32,510,2.3,1
2000,54.525167,-132.676333,325431,710,201,Coral,Redbanded rockfish,Female,39,500,2.2,1
2000,54.525167,-132.676333,325431,710,201,Coral,Redbanded rockfish,Male,19,450,1.5,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Female,23,400,1.1,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Female,23,420,1.1,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Female,25,440,1.4,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Female,44,580,3.3,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Female,54,580,3,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Female,92,560,2.7,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Male,30,500,2,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Male,66,550,2.7,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Male,116,620,3.5,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Male,122,530,2.5,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Male,125,550,2.6,1
2000,54.525167,-132.676333,325431,710,201,Coral,Rougheye rockfish,Male,205,580,3.1,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Female,3,450,0.8,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Female,3,570,2,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Female,6,540,1.6,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Female,7,620,2.5,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Female,7,660,2.5,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Female,22,720,3.6,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Female,22,860,7.7,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Male,7,590,1.9,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Male,12,620,2.4,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Male,12,620,2.5,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Male,14,640,2.7,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Male,18,680,3.3,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Male,21,660,2.7,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Male,21,800,5,1
2000,54.525167,-132.676333,325431,710,201,Coral,Sablefish,Male,47,720,4.2,1
2000,54.525167,-132.676333,325431,710,201,Coral,Shortraker rockfish,Female,37,530,2.1,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,270,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,290,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,300,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,310,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,320,,2
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,330,,5
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,340,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,350,,4
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,360,,4
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,370,,4
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,380,,4
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,390,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,420,,2
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,430,,4
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,450,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,470,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,480,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,510,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,650,,1
2000,54.525167,-132.676333,325431,710,201,Coral,Thornyhead rockfish,,,740,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Sablefish,Female,8,640,2.6,1
2000,54.653833,-131.688833,315431,710,288,Hard,Sablefish,Male,6,420,0.7,1
2000,54.653833,-131.688833,315431,710,288,Hard,Sablefish,Male,6,520,1.6,1
2000,54.653833,-131.688833,315431,710,288,Hard,Sablefish,Male,7,520,1.4,1
2000,54.653833,-131.688833,315431,710,288,Hard,Sablefish,Male,7,570,1.7,1
2000,54.653833,-131.688833,315431,710,288,Hard,Sablefish,Male,7,590,2.1,1
2000,54.653833,-131.688833,315431,710,288,Hard,Sablefish,Male,11,590,2.1,1
2000,54.653833,-131.688833,315431,710,288,Hard,Sablefish,Male,19,610,2.4,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,330,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,370,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,380,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,390,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,400,,2
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,420,,4
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,430,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,440,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,460,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,470,,3
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,490,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,500,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,520,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,540,,1
2000,54.653833,-131.688833,315431,710,288,Hard,Thornyhead rockfish,,,650,,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Female,7,570,2,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Female,7,740,4,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Female,10,550,1.5,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Female,10,660,3,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Female,11,630,2.4,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Female,14,640,2.6,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Female,20,720,3.8,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Male,6,570,0.8,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Male,6,580,1.8,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Male,7,560,1.8,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Male,7,570,2,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Male,7,610,2.2,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Male,12,620,2.3,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Male,15,620,2.5,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Male,15,710,3.6,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Male,22,680,3.6,1
2000,54.688,-131.900667,315432,710,197,Coral,Sablefish,Male,23,720,3.8,1
2000,54.688,-131.900667,315432,710,197,Coral,Shortraker rockfish,Male,24,510,2.1,1
2000,54.688,-131.900667,315432,710,197,Coral,Shortraker rockfish,Male,86,840,9.8,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,280,,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,290,,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,310,,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,320,,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,340,,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,350,,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,360,,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,370,,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,380,,2
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,390,,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,400,,4
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,410,,3
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,420,,1
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,450,,3
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,470,,2
2000,54.688,-131.900667,315432,710,197,Coral,Thornyhead rockfish,,,480,,2
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Sablefish,Female,3,460,0.9,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Sablefish,Female,3,490,1.1,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Sablefish,Female,7,580,2,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Sablefish,Male,5,480,1.1,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Sablefish,Male,5,500,1.2,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Sablefish,Male,7,520,1.4,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Sablefish,Male,7,550,1.9,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Sablefish,Male,11,560,1.7,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Sablefish,Male,,480,1.1,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,360,,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,370,,2
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,380,,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,400,,2
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,410,,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,420,,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,430,,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,440,,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,460,,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,480,,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,490,,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,510,,1
2000,54.7235,-131.733167,315432,710,209,Mud/Soft,Thornyhead rockfish,,,520,,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Female,2,440,0.8,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Female,5,480,1,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Female,5,510,1.2,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Female,7,520,1.4,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Female,7,560,1.7,2
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Male,4,440,0.9,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Male,4,470,1,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Male,7,530,1.4,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Male,7,560,1.8,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Male,7,570,1.7,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Sablefish,Male,8,530,1.3,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Thornyhead rockfish,,,370,,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Thornyhead rockfish,,,380,,1
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Thornyhead rockfish,,,420,,2
2000,54.727,-131.731333,315432,710,210,Mud/Soft,Thornyhead rockfish,,,520,,3
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Female,6,570,1.8,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Female,7,590,1.8,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Female,7,620,2.6,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Female,7,630,2.4,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Female,7,650,2.8,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Female,8,660,2.9,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Female,10,590,2,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Female,11,690,3.5,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Female,13,740,4.3,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Male,3,500,1.3,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Male,7,520,1.3,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Male,7,560,1.6,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Male,7,560,1.7,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Male,8,600,2.3,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Sablefish,Male,11,570,2,1
2000,54.774833,-131.844667,315432,710,215,Mud/Soft,Thornyhead rockfish,,,360,,1
